Date,Room,UtilizationRate
2025-04-16,Room 2,0.67
2025-04-16,Room 3,0.69
2025-04-16,Room 4,0.68
2025-04-16,Room 5,0.66
2025-04-16,Room 6,0.68
2025-04-17,Room 1,0.72
2025-04-17,Room 2,0.74
2025-04-17,Room 3,0.74
2025-04-17,Room 4,0.72
2025-04-17,Room 5,0.69
2025-04-17,Room 6,0.71
2025-04-18,Room 1,0.67
2025-04-18,Room 2,0.69
2025-04-18,Room 3,0.71
2025-04-18,Room 4,0.7
2025-04-18,Room 5,0.69
2025-04-18,Room 6,0.74
2025-04-19,Room 1,0.17
2025-04-19,Room 2,0.14
2025-04-19,Room 3,0.13
2025-04-19,Room 4,0.15
2025-04-19,Room 5,0.14
2025-04-19,Room 6,0.16
2025-04-20,Room 1,0.17
2025-04-20,Room 2,0.12
2025-04-20,Room 3,0.14
2025-04-20,Room 4,0.19
2025-04-20,Room 5,0.14
2025-04-20,Room 6,0.17
2025-04-21,Room 1,0.66
2025-04-21,Room 2,0.65
2025-04-21,Room 3,0.68
2025-04-21,Room 4,0.75
2025-04-21,Room 5,0.67
2025-04-21,Room 6,0.69
2025-04-22,Room 1,0.69
2025-04-22,Room 2,0.75
2025-04-22,Room 3,0.7
2025-04-22,Room 4,0.74
2025-04-22,Room 5,0.72
2025-04-22,Room 6,0.73
2025-04-23,Room 1,0.72
2025-04-23,Room 2,0.69
2025-04-23,Room 3,0.67
2025-04-23,Room 4,0.71
2025-04-23,Room 5,0.73
2025-04-23,Room 6,0.72
2025-04-24,Room 1,0.72
2025-04-24,Room 2,0.7
2025-04-24,Room 3,0.71
2025-04-24,Room 4,0.71
2025-04-24,Room 5,0.73
2025-04-24,Room 6,0.68
2025-04-25,Room 1,0.73
2025-04-25,Room 2,0.67
2025-04-25,Room 3,0.71
2025-04-25,Room 4,0.66
2025-04-25,Room 5,0.73
2025-04-25,Room 6,0.72
2025-04-26,Room 1,0.13
2025-04-26,Room 2,0.16
2025-04-26,Room 3,0.2
2025-04-26,Room 4,0.17
2025-04-26,Room 5,0.14
2025-04-26,Room 6,0.19
2025-04-27,Room 1,0.14
2025-04-27,Room 2,0.11
2025-04-27,Room 3,0.13
2025-04-27,Room 4,0.18
2025-04-27,Room 5,0.15
2025-04-27,Room 6,0.15
2025-04-28,Room 1,0.66
2025-04-28,Room 2,0.67
2025-04-28,Room 3,0.66
2025-04-28,Room 4,0.71
2025-04-28,Room 5,0.74
2025-04-28,Room 6,0.74
2025-04-29,Room 1,0.69
2025-04-29,Room 2,0.74
2025-04-29,Room 3,0.71
2025-04-29,Room 4,0.73
2025-04-29,Room 5,0.73
2025-04-29,Room 6,0.71
2025-04-30,Room 1,0.74
2025-04-30,Room 2,0.67
2025-04-30,Room 3,0.71
2025-04-30,Room 4,0.66
2025-04-30,Room 5,0.66
2025-04-30,Room 6,0.7
